1009;"Årets avskrivningar på immateriella anläggningstillgångar"
;
;
;
"Underkonton";
1119;"Ackumulerade avskrivningar på byggnader"
;
1159;"Ackumulerade avskrivningar på markanläggningar "
;
;
;
;
"Underkonton";
1221;"Årets nyanskaffning av maskiner och inventarier"
1222;"Årets ersättning för maskiner och inventarier"
1229;"Årets avskrivningar på maskiner och inventarier"
1231;"Årets nyanskaffning av byggnads- och markinventarier "
1232;"Årets ersättning för byggnads- och markinventarier "
1239;"Årets avskrivningar på byggnads- och markinventarier "
1241;"Årets nyanskaffning av bilar och andra transportmedel"
1242;"Årets ersättning för bilar och andra transportmedel"
1249;"Årets avskrivningar på bilar och andra transportmedel"
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
;
;
;
;
;
"Underkonton";
2011;"Egna varuuttag"
2012;"Avräkning för skatter och avgifter (skattekonto)"
2013;"Övriga egna uttag"
2014;"Uttag förmåner"
2017;"Egna insättningar"
2019;"Årets resultat, delägare 1"
;
;"Se delägre 1"
;"Se delägre 1"
;"Se delägre 1"
;
;
;
2081;"Periodiseringsfond vid 2010 års taxering"
2082;"Periodiseringsfond vid 2011 års taxering"
2083;"Periodiseringsfond vid 2012 års taxering"
2084;"Periodiseringsfond vid 2013 års taxering"
2085;"Periodiseringsfond vid 2013 års taxering"
2086;"Periodiseringsfond vid 2014 års taxering U1"
2087;"Periodiseringsfond vid 2015 års taxering U1"
2088;"Periodiseringsfond vid 2016 års taxering U1"
2089;"Periodiseringsfond vid 2017 års taxering U1"
;
;
;
;
"Underkonton";
;
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
2611;"Utgående moms på försäljning inom Sverige, 25 %"
2612;"Utgående moms på egna uttag, 25 % "
2613;"Utgående moms för uthyrning, 25 % "
2614;"Utgående moms omvänd skattskyldighet, 25 % "
2615;"Utgående moms import av varor, 25 %"
2618;"Vilande utgående moms, 25 %"
2621;"Utgående moms på försäljning inom Sverige, 12 %"
2622;"Utgående moms på egna uttag, 12 %"
2623;"Utgående moms för uthyrning, 12 %"
2624;"Utgående moms omvänd skattskyldighet, 12 %"
2625;"Utgående moms import av varor, 12 %"
2628;"Vilande utgående moms, 12 %"
2631;"Utgående moms på försäljning inom Sverige, 6 % "
2632;"Utgående moms på egna uttag, 6 % "
2633;"Utgående moms för uthyrning, 6 %"
2634;"Utgående moms omvänd skattskyldighet, 6 %"
2635;"Utgående moms import av varor, 6 %"
2638;"Vilande utgående moms, 6 %"
2641;"Debiterad ingående moms "
2642;"Debiterad ingående moms i anslutning till frivillig skattskyldighet "
2645;"Beräknad ingående moms på förvärv från utlandet "
2646;"Ingående moms på uthyrning "
2648;"Vilande ingående moms "
2649;"Ingående moms, blandad verksamhet "
;
;
;
;
;
"Underkonton";
;
;
;
;
;
"Underkonton";
;
;
;
;
;
;
"Underkonton";
;
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
5611;"Drivmedel för personbilar "
5612;"Försäkring och skatt för personbilar"
5613;"Reparation och underhåll av personbilar"
5615;"Leasing av personbilar"
5618;"Schablonmässig milkostnad privat personbil"
5619;"Övriga personbilskostnader"
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
6071;"Representation, avdragsgill"
6072;"Representation, ej avdragsgill"
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
7631;"Personalrepresentation, avdragsgill"
7632;"Personalrepresentation, ej avdragsgill"
;
;
;
"Underkonton";
;
;
;
;
"Underkonton";
;
;
;
;
;
;
"Underkonton";
;
;
;
;
;
;
;
"Underkonton";
8314;"Skattefria ränteintäkter"
;
;
;
;
"Underkonton";
;
;
;
;
;
;
;
"Underkonton";
8999;"Årets resultat"
